question,answer,final_answer,dynamic
561,roles of University student council or USC,it serves the community by assisting with issues and problems involving students and the bicol university community. it provides channels of communication between the students and the university.,It serves the community by assisting with issues and problems involving students and the Bicol University community. It provides channels of communication between the students and the University.,0
562,curricular activities in Bicol University,"curricular activities are required off-campus activities and are an integral part of the institutional program such as educational tours, field trips, and field study/ experiential learning/ related learning experience.","Curricular activities are required off-campus activities and are an integral part of the institutional program such as educational tours, field trips, and field study/ Experiential Learning/ Related Learning experience.",0
563,What are Field Trips,field trips refer to off-campus learning activities of relatively shorter duration usually lasting only one (1) day and with fewer places of destination.,Field Trips refer to off-campus learning activities of relatively shorter duration usually lasting only one (1) day and with fewer places of destination.,0
564,What are educational tours,educational tours refer to off-campus learning activities involving mobility of students with the supervision of authorized personnel outside the premises of the institution that last for more than one (1) day.,Educational tours refer to off-campus learning activities involving mobility of students with the supervision of authorized personnel outside the premises of the institution that last for more than one (1) day.,0
565, what is field study,field study or experiential learning or related learning experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,Field Study or Experiential Learning or Related Learning Experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,0
566,what is Experiential Learning,field study or experiential learning or related learning experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,Field Study or Experiential Learning or Related Learning Experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,0
567,what is RLE or Related Learning Experience,field study or experiential learning or related learning experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,Field Study or Experiential Learning or Related Learning Experience refers to off- campus activities which are congruent to the learning outcomes of the course in terms of time and context.,0
568,what are non-curricular activities,"non-curricular activities refers to off-campus activities that are considered as no curricular or non-program-based activities, and are left to the discretion of the university for the strategies of implementation as long as the safety and security of the students are ensured.","Non-Curricular Activities refers to off-campus activities that are considered as no curricular or non-program-based activities, and are left to the discretion of the University for the strategies of implementation as long as the safety and security of the students are ensured.",0
569,Bubot,"i am bubot, an ai chatbot. i learned general information from bicol university.","I am Bubot, an AI chatbot. I learned general information from bicol university.",0
570,are you an AI or artificial intelligence,"i am bubot, an ai chatbot. i learned general information from bicol university.","I am Bubot, an AI chatbot. I learned general information from bicol university.",0
571,Fraternity,fraternity are organizations primarily engaged in the promotion of camaraderie and friendship with the distinction to uphold the maxims and virtues of their code of brotherhood.,Fraternity are organizations primarily engaged in the promotion of camaraderie and friendship with the distinction to uphold the maxims and virtues of their code of brotherhood.,0
572,Sorority,sorority are organizations primarily engaged in the promotion of camaraderie and friendship with the distinction to uphold the maxims and virtues of their code of brotherhood.,Sorority are organizations primarily engaged in the promotion of camaraderie and friendship with the distinction to uphold the maxims and virtues of their code of brotherhood.,0
573,Academic Student Organizations,"academic are groups organized in furtherance of the subject matter or course, department, academic, and year level concerns.","Academic are groups organized in furtherance of the subject matter or course, department, academic, and year level concerns.",0
574,Political students organizations or groups,political groups are organizations of people who share similar views about the way governance and power should be used and expressed in society.,Political Groups are organizations of people who share similar views about the way governance and power should be used and expressed in society.,0
575,Socio-Civic student groups,socio-civic are groups that actively engage in promoting the civic and social interests of their members.,Socio-Civic are groups that actively engage in promoting the civic and social interests of their members.,0
576,Lifestyle student organizations,lifestyle are group of people/students brought together by a shared advocacy that affirms adequate standards of living and promotes positive expressions of individual and collective creativity.,Lifestyle are group of people/students brought together by a shared advocacy that affirms adequate standards of living and promotes positive expressions of individual and collective creativity.,0
577,Environmental students organizations,environmental are organizations engaged in enforcing the protection of public health and environment through the promotion of valuable resource conservation and recovery method.,Environmental are organizations engaged in enforcing the protection of public health and environment through the promotion of valuable resource conservation and recovery method.,0
578,Spiritual or Religious student organizations,spiritual/religious are association/organization that actively promotes among their members the value of spiritual growth and the enrichment of faith.,Spiritual/Religious are association/organization that actively promotes among their members the value of spiritual growth and the enrichment of faith.,0
579,"student organizations violating policies, rules and regulations of the University","any student organization found violating policies, rules, and regulations of the university may loss accreditation.","Any student organization found violating policies, rules, and regulations of the University may loss accreditation.",0
580,Amphitheater and Audio-Visual Center and Language Laboratory,"the amphitheater, located in the multi-purpose building serves as a center for cultural presentations, convocations, meetings, debates and other similar activities.","The amphitheater, located in the Multi-Purpose building serves as a center for cultural presentations, convocations, meetings, debates and other similar activities.",0
581,how to be enlisted or enrolled in nstp,"the incoming first year students are required to attend nstp orientation for it includes enlistment to the different components of their choice. the enlistment shall be on a first come, first serve basis.","The incoming first year students are required to attend NSTP orientation for it includes enlistment to the different components of their choice. The enlistment shall be on a first come, first serve basis.",0
582,what are the financial aids in Bicol University,student assistantship provide the students with an experience where they could earn while studying.,Student Assistantship provide the students with an experience where they could earn while studying.,0
583,student assistantships,student assistantship provide the students with an experience where they could earn while studying.,Student Assistantship provide the students with an experience where they could earn while studying.,0
584,student assistants,student assistantship provide the students with an experience where they could earn while studying.,Student Assistantship provide the students with an experience where they could earn while studying.,0
585,how to apply for student assistantship,"students who wish to apply as student assistant must be officially enrolled, not a dependent of bu personnel, be of good moral character, and not have obtained a failing or an incomplete during the previous semester.","Students who wish to apply as student assistant must be officially enrolled, not a dependent of BU personnel, be of good moral character, and not have obtained a FAILING or an INCOMPLETE during the previous semester.",0
586,how to be an student assistant,"students who wish to apply as student assistant must be officially enrolled, not a dependent of bu personnel, be of good moral character, and not have obtained a failing or an incomplete during the previous semester.","Students who wish to apply as student assistant must be officially enrolled, not a dependent of BU personnel, be of good moral character, and not have obtained a FAILING or an INCOMPLETE during the previous semester.",0
587,working hours of student assistants,a student assistant may render up to a maximum of 100 hours per month but not to exceed four (4) hours a day.,A student assistant may render up to a maximum of 100 hours per month but not to exceed four (4) hours a day.,0
588,how many hours should an student assistants render monthly,a student assistant may render up to a maximum of 100 hours per month but not to exceed four (4) hours a day.,A student assistant may render up to a maximum of 100 hours per month but not to exceed four (4) hours a day.,0
589,general weighted average of president's lister,a student can receive academic distinction such as president's lister with no grades lower than 2.4 and with gwa equal to 1.00 or greater than or equal to 1.45.,A student can receive academic distinction such as President's Lister with no grades lower than 2.4 and with GWA equal to 1.00 or greater than or equal to 1.45.,0
590,general weighted average of dean's lister,a student can receive academic distinction such as dean's lister with no grades lower than 2.4 and with gwa of greater than or equal to 1.75 but not higher than 1.45.,A student can receive academic distinction such as Dean's Lister with no grades lower than 2.4 and with GWA of greater than or equal to 1.75 but not higher than 1.45.,0
591,how to apply for scholarships,scholarship applicants must submit a duly accomplished scholarship form and other requirements with the bu office of student affairs and services and services (bu-osas).,Scholarship applicants must submit a duly accomplished scholarship form and other requirements with the BU Office of Student Affairs and Services and Services (BU-OSAS).,0
592,My rating is 1.0,that is an outstanding rating.,That is an Outstanding Rating.,0
593,My rating is 1.1,that is an outstanding rating.,That is an Outstanding Rating.,0
594,My rating is 1.2,that is an outstanding rating.,That is an Outstanding Rating.,0
595,My rating is 1.3,that is an outstanding rating.,That is an Outstanding Rating.,0
596,My rating is 1.4,that is an outstanding rating.,That is an Outstanding Rating.,0
597,Equivalence of 1.0 rating.,that is equivalent to 99-100,That is equivalent to 99-100,0
598,Equivalence of 1.1 rating.,that is equivalent to 98,That is equivalent to 98,0
599,Equivalence of 1.2 rating.,that is equivalent to 97,That is equivalent to 97,0
600,Equivalence of 1.3 rating.,that is equivalent to 96,That is equivalent to 96,0
601,Equivalence of 1.4 rating.,that is equivalent to 95,That is equivalent to 95,0
602,My rating is 1.5,that is a superior rating.,That is a superior rating.,0
603,My rating is 1.6,that is a superior rating.,That is a superior rating.,0
604,My rating is 1.7,that is a superior rating.,That is a superior rating.,0
605,Equivalence of 1.5 rating.,that is equivalent to 94,That is equivalent to 94,0
606,Equivalence of 1.6 rating.,that is equivalent to 93,That is equivalent to 93,0
607,Equivalence of 1.7 rating.,that is equivalent to 92,That is equivalent to 92,0
608,My rating is 1.8,that is a very satisfactory rating.,That is a very satisfactory rating.,0
609,My rating is 1.9,that is a very satisfactory rating.,That is a very satisfactory rating.,0
610,My rating is 2.0,that is a very satisfactory rating.,That is a very satisfactory rating.,0
611,My rating is 2.1,that is a very satisfactory rating.,That is a very satisfactory rating.,0
612,My rating is 2.2,that is a very satisfactory rating.,That is a very satisfactory rating.,0
613,My rating is 2.3,that is a very satisfactory rating.,That is a very satisfactory rating.,0
614,My rating is 2.4,that is a very satisfactory rating.,That is a very satisfactory rating.,0
615,My rating is 2.5,that is a very satisfactory rating.,That is a very satisfactory rating.,0
616,Equivalence of 1.8 rating.,that is equivalent to 91,That is equivalent to 91,0
617,Equivalence of 1.9 rating.,that is equivalent to 90,That is equivalent to 90,0
618,Equivalence of 2.0 rating.,that is equivalent to 89,That is equivalent to 89,0
619,Equivalence of 2.1 rating.,that is equivalent to 88,That is equivalent to 88,0
620,Equivalence of 2.2 rating.,that is equivalent to 87,That is equivalent to 87,0
621,Equivalence of 2.3 rating.,that is equivalent to 86,That is equivalent to 86,0
622,Equivalence of 2.4 rating.,that is equivalent to 85,That is equivalent to 85,0
623,Equivalence of 2.5 rating.,that is equivalent to 84,That is equivalent to 84,0
624,My rating is 2.6,that is a satisfactory rating.,That is a satisfactory rating.,0
625,My rating is 2.7,that is a satisfactory rating.,That is a satisfactory rating.,0
626,My rating is 2.8,that is a satisfactory rating.,That is a satisfactory rating.,0
627,Equivalence of 2.6 rating.,that is equivalent to 82-83,That is equivalent to 82-83,0
628,Equivalence of 2.7 rating.,that is equivalent to 80-81,That is equivalent to 80-81,0
629,Equivalence of 2.8 rating.,that is equivalent to 78-79,That is equivalent to 78-79,0
630,My rating is 2.9,that is a fair or average rating.,That is a fair or average rating.,0
631,My rating is 3.0,that is a fair or average rating.,That is a fair or average rating.,0
632,Equivalence of 2.9 rating.,that is equivalent to 76-77.,That is equivalent to 76-77.,0
633,Equivalence of 3.0 rating.,that is equivalent to 75.,That is equivalent to 75.,0
634,Equivalence of 4.0 rating.,ratings from 3.1-4.0 are the lowest possible midterm ratings.,Ratings from 3.1-4.0 are the lowest possible midterm ratings.,0
635,Can I borrow encyclopedias,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
636,Can I borrow dictionaries,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
637,Can I borrow indexes,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
638,Can I borrow yearbooks,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
639,Can I borrow handbooks,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
640,Can I borrow atlases,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
641,Can I borrow newspapers,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
642,Can I borrow magazines,yes you can and the borrowing procedures are the same with books.,Yes you can and the borrowing procedures are the same with books.,0
643,Is the Tabaco Campus Library open on Saturday?,"yes, tabaco campus library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, Tabaco Campus Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
644,Is the East Campus Library open on Saturday?,"no, east campus library is closed on saturdays.","No, East Campus Library is closed on Saturdays.",0
645,Is the College of Nursing Library open on Saturday?,"no, college of nursing library is closed on saturdays.","No, College of Nursing Library is closed on Saturdays.",0
646,Is the ILS-Children's Library open on Saturday?,"no, ils-children's library is closed on saturdays.","No, ILS-Children's Library is closed on Saturdays.",0
647,Is the ILS - High School Library open on Saturday?,"yes, ils - high school library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, ILS - High School Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
648,Is the College of Education Library open on Saturday?,"yes, college of education library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, College of Education Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
649,Is the Daraga Campus Library open on Saturday?,"yes, daraga campus library is open on saturdays from 8:00 am - 4:00 pm (no noon break).","Yes, Daraga Campus Library is open on Saturdays from 8:00 AM - 4:00 PM (no NOON BREAK).",0
650,Is the BUCAF Library open on Saturday?,"yes, bucaf library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, BUCAF Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
651,Is the BUPC Library open on Saturday?,"yes, bupc library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, BUPC Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
652,Is the BUGC Library open on Saturday?,"yes, bugc library is open on saturdays from 8:00 am - 5:00 pm (no noon break).","Yes, BUGC Library is open on Saturdays from 8:00 AM - 5:00 PM (no NOON BREAK).",0
653,Is the university Medical and Dental Clinic open on Saturday?,"yes, the university medical and dental clinic is open on saturdays from 8:00 am - 12:00 nn.","Yes, the University Medical and Dental Clinic is open on Saturdays from 8:00 AM - 12:00 nn.",0
